mesmosemest 1 
ansios 1 
const 1 
0540 1 
aug 1 
qurm 1 
aul 7 
igual 10 
aut 1 
rotin 4 
haahhahaahah 1 
segund 35 
dela 6 
respald 1 
vasc 1 
caceteeeeeee 1 
risc 8 
manif 1 
jack 1 
fur 1 
tdvz 1 
dorflex 1 
cmg 5 
igrej 2 
masssss 1 
katniss 1 
enta 2 
belisc 1 
matheus 1 
sinistr 1 
bacon 1 
nair 1 
chef 1 
enquant 4 
vacila 1 
fech 1 
chei 4 
nen 1 
carac 2 
nel 2 
nem 50 
trator 2 
joelh 3 
neg 2 
predi 1 
alcanc 1 
blus 4 
scr 1 
ner 1 
med 5 
meg 2 
mec 2 
aparelh 3 
men 12 
mei 9 
sdds 4 
meu 129 
met 5 
tempm 1 
mes 8 
ates 1 
dorm 38 
100 7 
culp 4 
mex 3 
inic 1 
gtcorr 1 
k 3 
precis 71 
aki 2 
nadadorasalv 1 
moortaaaaquer 1 
jami 1 
vigi 1 
bandeir 1 
prints 1 
brt 2 
atitud 2 
moral 1 
total 4 
u 1 
ore 1 
mord 1 
aeromoc 1 
hospital 1 
atlet 14 
dnv 6 
music 1 
menstru 1 
telh 1 
calc 2 
is 2 
seja 5 
bontad 1 
encher 3 
excs 1 
relax 3 
dian 1 
apresent 1 
ris 2 
itaip 1 
descans 6 
ahahhaah 1 
90 1 
me 166 
mc 4 
vou 275 
mm 7 
1998 1 
mo 3 
dodo 1 
mt 45 
pedreir 1 
mv 1 
era 15 
tnc 2 
menininh 1 
gloria 1 
sapatinh 1 
espairec 1 
uau 4 
aaaa 5 
ia 18 
dele 2 
bund 1 
polic 1 
hom 1 
hoj 72 
imaginasamb 1 
julgu 1 
far 1 
hor 28 
deslig 1 
casal 1 
updat 1 
fikagrandeporr 1 
lad 9 
after 1 
madrug 4 
zzzzzzz 1 
chinel 1 
mesm 8 
lav 3 
podra 1 
cedin 1 
vtnc 1 
evillyn 1 
kridons 1 
amig 16 
enquadram 1 
principi 1 
1000 1 
agorinh 2 
embor 4 
tesour 1 
castel 1 
incit 1 
gostos 4 
8383 1 
vitt 1 
deledepo 1 
afim 1 
personag 1 
destra 1 
fit 1 
fiz 12 
fix 1 
fic 258 
cred 1 
fio 1 
fil 2 
fim 26 
enooorm 1 
anim 4 
pesso 30 
band 2 
bang 1 
reconhec 1 
twitt 2 
aniv 1 
banh 6 
pelas 1 
tendenc 1 
0534 1 
bons 1 
l 1 
rocks 1 
alem 2 
fitness 48 
disfarc 1 
expuls 1 
enorm 4 
24h 1 
ligu 1 
gatinh 2 
maneir 2 
matinal 1 
madureir 1 
estranhofal 1 
modinh 1 
rs 5 
2300 1 
smp 3 
matam 1 
rm 1 
judith 1 
ri 3 
kkkkkkkk 6 
iam 1 
destru 1 
entrar 15 
aahahah 1 
ate 25 
ato 1 
ritual 1 
ressac 1 
angor 1 
louc 5 
caprich 1 
maquiag 2 
raiv 9 
coro 1 
agradec 2 
ranh 1 
amazonens 1 
comig 8 
2050 1 
compromiss 3 
jeitinh 1 
bumbum 1 
2059 1 
dogg 1 
top 2 
diret 2 
girls 1 
tou 15 
eletron 1 
tom 28 
toc 4 
thibodeau 1 
toa 1 
tod 71 
febr 1 
consom 1 
abrim 1 
entra 2 
perseg 1 
penafiel 1 
flamengu 2 
estavam 1 
teamvivian 1 
abrir 1 
geral 2 
abriu 1 
trem 5 
cheg 33 
perig 2 
algum 11 
minut 4 
donalds 1 
este 6 
oqu 1 
rab 2 
esta 12 
oqq 1 
churr 1 
rat 1 
rap 2 
ponder 1 
pelomen 1 
desist 3 
moby 1 
juli 1 
doid 5 
belofu 1 
cois 25 
inves 1 
maril 1 
unha 3 
invej 1 
dois 7 
gtver 1 
tncccc 1 
metad 4 
doc 2 
professor 2 
dog 3 
tecl 1 
kkkkkkkkkkkkk 2 
tech 1 
doenteooh 1 
assistins 1 
aqles 1 
dor 13 
camb 1 
doentefebr 1 
dou 2 
kpop 2 
bomd 1 
prim 5 
cabec 13 
baix 4 
parano 2 
socorr 12 
bail 3 
levantarpq 1 
crossfit 1 
capet 1 
ment 7 
hrs 4 
25km 1 
cambur 1 
execwhit 1 
mend 1 
busc 2 
busa 1 
do 164 
amad 1 
dm 3 
desencontr 1 
stou 1 
de 587 
da 161 
amazon 2 
dx 1 
youtub 2 
dq 1 
bat 13 
bar 3 
emo 1 
umirim 1 
chapadinh 1 
derrub 2 
caralh 21 
kauan 1 
bad 1 
bab 1 
kkkkkkkkkkk 1 
saud 2 
bal 3 
saun 1 
bah 3 
saul 1 
respond 4 
desenh 1 
enxaquec 2 
nuu 1 
pizz 11 
qlqr 1 
num 10 
result 3 
fail 1 
pastel 1 
said 1 
saib 1 
olhand 2 
estress 241 
dias 10 
saiu 7 
sair 18 
mul 1 
mui 1 
ire 2 
ensin 3 
accord 1 
wc 1 
bost 4 
maramba 1 
adiat 1 
transtorn 1 
wtf 1 
fanfic 1 
iaaaa 1 
cop 1 
uns 12 
